Name	Set	ImageFile	Element	Hitpoints	Powerlevel	Subtypes	Supertypes	Cost	Rarity	Description
Fury Elemental BS 102	BS	BS-102.png	Fire	8	0	Elemental	Character	2	Common	Flash (This target can Attack and activate its abilities the turn it enters.);When this card enters, it gains Aura 2. (Put that many of these Counters on your targets. They have +1 PLV for each of these Counters.);During your End Phase, if this card didn't deal Damage this turn, it's Knocked Out.
Genesis Rage, Warrior of Eons BS 103	BS	BS-103.png	Space/Time	40	7	Overlord Celestial	Character	10	Ultra Rare	Mythical, Wildcard, Immune to nonDamage Counters (Only one copy of this card can exist under your control. This target cannot be targeted or affected by the listed card types, keywords, Counters, or abilities. This target counts as having every element, excluding Null-type.);Whenever you play a card, if it has 1 or more of this card's elements, gain 1 TP.
Immortal Dead BS 104	BS	BS-104.png	Time/Dark	7	3	Undead	Character	2	Uncommon	You may play this card from your Discard Pile as though it was in your Fighter Pool. If you do, lose 5 HP.
Jam Blob BS 105	BS	BS-105.png	Light	3	1	Slime	Character	1	Common	When this card enters, another target gains Barrier 2. (Put that many of these Counters on your targets. Whenever they become targeted by an nonAttack ability, you may remove 1 of these Counters to Negate that ability.)
Jungle Dryad BS 106	BS	BS-106.png	Nature	15	1	Plant Fey	Character	3	Super Rare	Mythical (Only one copy of this card can exist under your control.);Other Characters you control get +X HP, where X is the number of Power Counters on that Character.;2 TP: Put 1 Power Counter on another target ally Character. Exhaust this card. (This target can't Attack or activate its abilities. During your Starting Phase, it loses this keyword.)
Kreigendyne BS 107	BS	BS-107.png	Metal/Storm	9	2	Machine	Character	3	Ultra Rare	Mythical (Only one copy of this card can exist under your control.);Charge X, where X is equal to the number of Power Counters on this card (During your Starting Phase, gain X TP.);This card can hold a maximum of 3 Power Counters. During your End Phase, put 1 Power Counter on this card.
Kronus, Avatar of Eternity BS 108	BS	BS-108.png	Time	12	3	Avatar	Character	4	Rare	Immune to Destroy, Curse, Timebomb (This target cannot be targeted or affected by the listed card types, keywords, Counters, or abilities.);During your End Phase, gain 1 TP.
Kyle Rage, Demonic Overlord BS 109	BS	BS-109.png	Dark/Fire	20	6	Overlord Celestial Demon	Character	7	Ultra Rare	Mythical, Mastery of Darkness-typeFire-type (Only one copy of this card can exist under your control. This target's Damage with Attacks that have at least 1 of the listed elements is doubled.);If this card would gain Damage from Darkness-type or Fire-type Attacks, it heals for HP equal to that Damage instead.;Whenever this card deals Damage with a Normal Rank Attack, each target dealt Damage by that Attack gains Concussion until your next Starting Phase.
Lars Draigo BS 110	BS	BS-110.png	Dark	7	3	Brute	Character	2	Common	2 TP: Target opponent Character gains Deathmark until end of turn. Exhaust this card. (Whenever an ally of equal or higher TP cost is destroyed, this target is Knocked Out. This target can't Attack or activate its abilities. During your Starting Phase, it loses this keyword.)
Lilly Poh BS 111	BS	BS-111.png	Light/Nature	8	2	Fey Fighter	Character	2	Uncommon	This card deals 2 more Damage per hit with Energy Attacks.
Lunar Mylus BS 112	BS	BS-112.png	Space/Dark	12	4	Demon	Character	4	Rare	Imprison the top card of your Deck: Put 1 Power Counter on this card. Exhaust this card. (This target can't Attack or activate its abilities. During your Starting Phase, it loses this keyword.);This card deals X more Damage per hit with Attacks that deal Basic Damage, where X is the number of Power Counters on it.
Marko Sears BS 113	BS	BS-113.png	Fire	6	2	Fighter	Character	3	Uncommon	Whenever this card deals Damage with an Attack, it gets +1 PLV until end of turn.
Mars the Purifier BS 114	BS	BS-114.png	Light	17	4	Knight	Character	4	Rare	Knights you control have Mastery of Light-type. (This target's Damage with Attacks that have at least 1 of the listed elements is doubled.);4 TP: Knights you control have Immune to Darkness-type Attacks until end of turn. This ability can only be activated once per round. (This target cannot be targeted or affected by the listed card types, keywords, Counters, or abilities.)
Match Gunther BS 115	BS	BS-115.png	Dark/Storm	4	4	Machine Soldier	Character	3	Uncommon	Lock-On (This target can reach all other targets.);2 TP: Target Character gains Deathmark until end of turn. (Whenever an ally of equal or higher TP cost is destroyed, this target is Knocked Out.)
Nebula Slime BS 116	BS	BS-116.png	Space	5	1	Slime	Character	1	Common	If this card leaves, target Player imprisons the top 3 cards of their Deck.
Phantom Guardian BS 117	BS	BS-117.png	Light/Dark	8	2	Undead Knight	Character	2	Uncommon	When this card enters, it gains Barrier 2 then target reachable Character gains Curse 1.
Riley Aero BS 118	BS	BS-118.png	Light	14	3	Fey Trickster	Character	3	Uncommon	1 TP: Attach a Skill or Reaction card from your Discard Pile to this card. Thia ability can only be activated once per round.
Rundo Rondo BS 119	BS	BS-119.png	Storm/Earth	10	4	Brute	Character	3	Uncommon	Whenever this card deals Damage with a Normal Rank Attack, each target dealt Damage by that Attack gains Paralyze 1. (Put that many of these Counters on your targets. During your Starting Phase, remove 1 of these Counters from it. It cannot activate its abilities or Attack this round.)
Scorchwillow Dryad BS 120	BS	BS-120.png	Nature/Fire	8	1	Plant Fey	Character	2	Uncommon	Whenever a Character you control is healed for one or more HP, this card hits target reachable opponent for PLV Basic Damage.
Seawitch Atholla BS 121	BS	BS-121.png	Water	6	2	Seacreature	Character	2	Uncommon	Discard a card: Draw a card. Exhaust this card. (This target can't Attack or activate its abilities. During your Starting Phase, it loses this keyword.)
Shawn Mylus BS 122	BS	BS-122.png	Space/Light	18	3	Elemental Avatar	Character	4	Rare	If this card would deal Basic damage with an Attack, it deals Unblockable Damage instead.
Shinesteel Sentinel BS 123	BS	BS-123.png	Light/Metal	12	2	Machine	Character	3	Common	Whenever this card gains Damage, it gains Barrier 1. (Put that many of these Counters on your targets. Whenever they become targeted by an nonAttack ability, you may remove 1 of these Counters to Negate that ability.)
Space Kraken BS 124	BS	BS-124.png	Space/Water	15	4	Seacreature Abomination	Character	4	Super Rare	Mythical (Only one copy of this card can exist under your control.);Skills and Reactions can't be activated unless their controller pays 1 TP.
Stellar Vagrant BS 125	BS	BS-125.png	Space/Earth	8	1	Cosmonaut Trickster	Character	2	Uncommon	During your Draw Phase, imprison the top card of target Player's Deck.
Thunderous Hermit BS 126	BS	BS-126.png	Storm	7	3	Elemental Fighter	Character	2	Common	Backup- During your Starting Phase, you may put 1 Power Counter on any target. (This target's Backup ability is active while it's in a Backup Zone.)
Voltage Elemental BS 127	BS	BS-127.png	Storm	5	1	Elemental	Character	1	Uncommon	Flash (This target can Attack and activate its abilities the turn it enters.)
Voodoo Flytrap BS 128	BS	BS-128.png	Dark/Nature	9	3	Undead Plant	Character	4	Super Rare	Whenever a target gains or loses Poison, you may have that target gain Drain 1. (Put that many of these Counters on your targets. They have -1 PLV for each of these Counters.)
Adrenaline Shot BS 129	BS	BS-129.png	Null	N/A	N/A	Hyper Rank Buff	Item	4	Common	Target ally Character gets +2 PLV and has Multistrike 1 until end of turn. (This target's Normal Rank Attacks Hit up to 1 extra targets.)
Amnesia Grenade BS 130	BS	BS-130.png	Null	N/A	N/A	Special Rank Destruction	Item	2	Common	Destroy a card attached to target Player or Character.
Angelic Smite BS 131	BS	BS-131.png	Null	N/A	N/A	Hyper Rank Destruction	Item	4	Common	Knock Out target Character.
Antitoxin BS 132	BS	BS-132.png	Null	N/A	N/A	Special Rank Recovery	Item	2	Common	Target Character or Player loses all Poison and Drain.
Box of Bandages BS 133	BS	BS-133.png	Null	N/A	N/A	Normal Rank Recovery	Item	0	Common	Void (If this target would be destroyed, imprison it instead.);Target Character or Player heals for 3 HP.
Continue Token BS 134	BS	BS-134.png	Null	N/A	N/A	Hyper Rank Recovery	Item	3	Ultra Rare	Play target Character from your Discard Pile as though that Character was in your Fighter Pool without paying TP.
Continuum Potion BS 135	BS	BS-135.png	Null	N/A	N/A	Hyper Rank Rift Recovery	Item	0	Rare	Void (If this target would be destroyed, imprison it instead.);Imprison up to 2 cards from the top of your Deck. Gain 1 TP for each card imprisoned this way.
Death Sickle BS 136	BS	BS-136.png	Null	N/A	N/A	Hyper Rank Curse	Item	4	Uncommon	Each opponent Character gains Curse 1. (Put that many of these Counters on your targets. During your Starting Phase, you may pay 1 TP for each of these Counters. If you don't, imprison targets with Curse Counters you couldn't pay for.)
Dreadforge Arsenal BS 137	BS	BS-137.png	Null	N/A	N/A	Special Rank Search Draw Buff	Item	4	Uncommon	Search your Deck for a card with Equip then attach it to a relevant target without paying TP and shuffle your Deck.
Ejector Seat BS 138	BS	BS-138.png	Null	N/A	N/A	Special Rank Displacer	Item	2	Uncommon	Send target Character to their owner's Fighter Pool. All nonCharacter cards underneath it and attached to it are returned to their owners' Hands and all Character cards underneath it and attached to it are sent to their owners' Fighter Pools.
Energy Candy BS 139	BS	BS-139.png	Null	N/A	N/A	Special Rank Recovery	Item	0	Common	Gain X TP, where X is the number of cards named Energy Candy in your Discard Pile.
Energy Coin BS 140	BS	BS-140.png	Null	N/A	N/A	Normal Rank Chance Recovery	Item	0	Common	Flip 3 coins. For each Heads, gain 1 TP.
Gemstone Crusher BS 141	BS	BS-141.png	Null	N/A	N/A	Hyper Rank Debuff Projectile Attack	Item	5	Rare	Hit target opponent Character for 6 Basic Damage. They gain Fracture X, where X is equal to the Damage dealt. (Put that many of these Counters on your targets. Whenever it Attacks, put 1 Damage Counter for each of these Counters.)
Invincibility Stone BS 142	BS	BS-142.png	Null	N/A	N/A	Devastation Rank Defense	Item	8	Ultra Rare	Void (If this target would be destroyed, imprison it instead.);Target Character or Player gains Immune to Keywords, Counters, Abilities until your next Starting Phase. (This target cannot be targeted or affected by the listed card types, keywords, Counters, or abilities.)
Jackpot of Calamity BS 143	BS	BS-143.png	Null	N/A	N/A	Legendary Rank Chance	Item	X	Omega Rare	Roll Xd20:; - 1-20: Put 1 nonDamage Counter of your choice on target Character.; - 21-60: Put up to 5 nonDamage Counters of your choice divided among any number of target Characters.; - 61-120: Put up to 10 nonDamage Counters of your choice divided among any number of target Characters.; - 121+: Put up to 20 nonDamage Counters of your choice divided among any number of targets.
Medical Supply Kit BS 144	BS	BS-144.png	Null	N/A	N/A	Ultra Rank Recovery	Item	5	Uncommon	Remove all nonDamage nonPower Counters from target Character or Player and that target heals for 6 HP.
Mind Eraser BS 145	BS	BS-145.png	Null	N/A	N/A	Special Rank Destruction	Item	2	Common	Imprison a nonCharacter card on the field.
MIRV Grenade BS 146	BS	BS-146.png	Null	N/A	N/A	Ultra Rank Projectile Attack	Item	4	Super Rare	Replay- 1 TP (You may pay this cost to activate this target again before it leaves.);Hit up to X+1 target reachable opponents for X+2 Basic Damage, where X is the number of times this card activated Replay.
Paper Shredder BS 147	BS	BS-147.png	Null	N/A	N/A	Special Rank Burn	Item	1	Common	Target Player destroys the top 2 cards of their Deck.
Pocket Reality BS 148	BS	BS-148.png	Null	N/A	N/A	Ultra Rank Defense	Item	5	Uncommon	Target Character gains Immune to Damage, Recovery until your next Starting Phase. (This target cannot be targeted or affected by the listed card types, keywords, Counters, or abilities.)
Power Cable BS 149	BS	BS-149.png	Null	N/A	N/A	Hyper Rank Resource	Item	3	Uncommon	Put 1 Power Counter on each card you control.
Power Potion BS 150	BS	BS-150.png	Null	N/A	N/A	Special Rank Recovery	Item	0	Uncommon	Void (If this target would be destroyed, imprison it instead.);Gain 1 TP.
Recovery Wrap BS 151	BS	BS-151.png	Null	N/A	N/A	Normal Rank Recovery	Item	1	Uncommon	Send target Character from your Discard Pile to your Fighter Pool.
Script of Balance BS 152	BS	BS-152.png	Null	N/A	N/A	Hyper Rank Recovery Draw	Item	5	Super Rare	Void (If this target would be destroyed, imprison it instead.);Choose one:; - Your TP becomes equal to target Player's TP.; - Draw or discard cards until you have as many cards in your Hand as target Player.
Singularity Grenade BS 153	BS	BS-153.png	Null	N/A	N/A	Legendary Rank Destruction	Item	8	Ultra Rare	Knock Out all Characters in each Character Zone.
Sonic Grenade BS 154	BS	BS-154.png	Null	N/A	N/A	Hyper Rank Curse Projectile Attack	Item	4	Uncommon	Hit target opponent Character for 4 Basic Damage. They gain Mute until your next Starting Phase. (This target's abilities do nothing and cannot be activated or triggered.)
Stun Grenade BS 155	BS	BS-155.png	Null	N/A	N/A	Special Rank Burn	Item	2	Common	Target opponent Player loses 4 TP.
Summon Staff BS 156	BS	BS-156.png	Null	N/A	N/A	Ultra Rank Resource	Item	2	Rare	Play 1 Character from your Fighter Pool without paying TP.
Tactical Visor BS 157	BS	BS-157.png	Null	N/A	N/A	Hyper Rank Resource	Item	2	Rare	Opponents reveal their Hands and their face-down cards to you.
Tears of Life BS 158	BS	BS-158.png	Null	N/A	N/A	Devastation Rank Recovery	Item	6	Rare	Remove all Counters from target Character. That Character loses all gained keywords and abilities.
Temporal Battery BS 159	BS	BS-159.png	Null	N/A	N/A	Hyper Rank Burn Recovery	Item	0	Rare	Void (If this target would be destroyed, imprison it instead.);Gain 1 TP.;You may discard up to 4 cards. If you do, gain 1 TP for every 2 cards discarded this way.
Token Fire BS 160	BS	BS-160.png	Null	N/A	N/A	Hyper Rank Chance Projectile Attack	Item	1	Super Rare	Replay- 1 TP (You may pay this cost to activate this target again before it leaves.);Flip X+1 coins, where X is the number of times this card activated Replay. For each Heads, hit target reachable opponent for 1 Basic damage.
Treasure Chest BS 161	BS	BS-161.png	Null	N/A	N/A	Special Rank Draw	Item	0	Uncommon	Void (If this target would be destroyed, imprison it instead.);Draw a card.
Trigger Button BS 162	BS	BS-162.png	Null	N/A	N/A	Hyper Rank Rift Resource	Item	5	Ultra Rare	Activate an activated ability from an Item or Augment without paying its costs and resolve it as though you or a Character you control activated that ability.
Vampiric Dart BS 163	BS	BS-163.png	Null	N/A	N/A	Special Rank Recovery Projectile Attack	Item	2	Uncommon	Hit target opponent for 4 True Damage then target ally heals for HP equal to the Damage dealt.
Variable Sword BS 164	BS	BS-164.png	Null	N/A	N/A	Hyper Rank Chance Equipment Attack	Item	3	Super Rare	Roll 1d20:; - 1-20: Hit target opponent for 2 Basic Damage.; - 8-20: Hit target opponent for 6 Unblockable Damage.; - 15-20: Hit target opponent for 10 True Damage.
Worldcleaver BS 165	BS	BS-165.png	Null	N/A	N/A	Ultra Rank Destruction	Item	6	Super Rare	Destroy all Augments.
Banish Trap BS 166	BS	BS-166.png	Space	N/A	N/A	Ultra Rank Rift Debuff Trap	Reaction Skill	6	Rare	Contingency- The user is Space-type and you have at least 1 card in your Rift Zone. (You may play this card if its Contingency is met.);Target opponent Character gains Void until your next Starting Phase. If this card's Contingency was met, hit your target for X True Damage, where X is the number of cards in your Rift Zone. (If this target would be destroyed, imprison it instead.)
Beam Struggle BS 167	BS	BS-167.png	Light	N/A	N/A	Hyper Rank Chain Energy Attack	Reaction Skill	4	Uncommon	Hit target reachable opponent for PLV+2xX Basic Damage, where X is the number of cards in the current Chain.
Explosive Trap BS 168	BS	BS-168.png	Fire	N/A	N/A	Hyper Rank Trap Debuff	Reaction Skill	3	Rare	Contingency- The user is Fire-type and an opponent dealt Damage with a Normal Rank Attack. (You may play this card if its Contingency is met.);Target reachable opponent Character gains Blindness 2. If this card's Contingency was met, that target gains Concussion. (Whenever this target gains Damage Counters, it's Knocked Out.)
Frost Trap BS 169	BS	BS-169.png	Water	N/A	N/A	Hyper Rank Draw Burn Debuff Trap	Reaction Skill	3	Rare	Contingency- The user is Water-type and an opponent Player has drawn 3 or more cards during this round. (You may play this card if its Contingency is met.);Target reachable opponent Character gains Paralyze 2. If this card's Contingency was met, target Player shuffles their Hand into their Deck and draws 2 cards.
Gamma Storm BS 170	BS	BS-170.png	Space/Storm	N/A	N/A	Devastation Rank Rift Debuff	Reaction Skill	8	Super Rare	Overdrive- Imprison the top 4 cards of your Deck. (When this card enters, you may pay this cost to activate this target's Overdrive ability.);Each opponent Character gains Poison 5 and Fracture 5.;Overdrive: Each opponent Character gains Concussion until your next Starting Phase. (Whenever this target gains Damage Counters, it's Knocked Out.)
Mud Trap BS 171	BS	BS-171.png	Earth	N/A	N/A	Special Rank Debuff Trap	Reaction Skill	3	Rare	Contingency- The user is Earth-type and an opponent Player controls a Character with TP 5 or higher. (You may play this card if its Contingency is met.);Target reachable opponent Character gains Fracture 4. If this card's Contingency was met, that target gains Curse 2.
Penance Trap BS 172	BS	BS-172.png	Light	N/A	N/A	Hyper Rank Recovery Trap Attack	Reaction Skill	4	Rare	Contingency- The user is Light-type and an opponent Knocked Out a Character this turn. (You may play this card if its Contingency is met.);Hit target reachable opponent Character for X Basic Damage, where X is equal to their PLV. If this card's Contingency was met, target ally heals for HP equal to the Damage dealt.
Power Veil BS 173	BS	BS-173.png	Storm	N/A	N/A	Special Rank Recovery	Reaction Skill	0	Rare	Gain 1 TP. Lose any unspent TP gained this way during the next End Phase.
Rapid Degradation BS 174	BS	BS-174.png	Space/Nature	N/A	N/A	Ultra Rank Debuff	Reaction Skill	6	Rare	Choose a card type. Cards of the chosen type gain Mute until your next Starting Phase. (This target's abilities do nothing and cannot be activated or triggered.)
Sawblade Trap BS 175	BS	BS-175.png	Metal	N/A	N/A	Hyper Rank Counter Trap Attack	Reaction Skill	4	Rare	Contingency- The user is Metal-type and an opponent Attacks. (You may play this card if its Contingency is met.);Hit target reachable opponent Character for X Unblockable Damage, where X is that Character's PLV. If this card's Contingency was met, this Attack's Damage is doubled.
Shock Trap BS 176	BS	BS-176.png	Storm	N/A	N/A	Hyper Rank Burn Trap Attack	Reaction Skill	4	Rare	Contingency- The user is Storm-type and an opponent Player controls at least 3 cards with Power Counters on them. (You may play this card if its Contingency is met.);Hit target reachable opponent for PLV+2 Basic Damage. If this card's Contingency was met, remove up to 10 Power Counters divided as you choose among any number of cards opponents control.
Spikepit Trap BS 177	BS	BS-177.png	Dark	N/A	N/A	Hyper Rank Destruction Trap Attack	Reaction Skill	4	Rare	Contingency- The user is Darkness-type and an opponent Character is using a Reaction. (You may play this card if its Contingency is met.);Hit target reachable opponent Character for PLV+3 Basic Damage. If this card's Contingency was met, that target is Knocked Out.
Stasis Trap BS 178	BS	BS-178.png	Time	N/A	N/A	Hyper Rank Burn Recovery Trap	Reaction Skill	2	Rare	Contingency- The user is Time-type and an opponent Player has more TP than you. (You may play this card if its Contingency is met.);Target opponent Player loses 2 TP. If this card's Contingency was met, each opponent Player loses 2 TP instead. Gain TP equal to the TP lost this way.
Treeroot Trap BS 179	BS	BS-179.png	Nature	N/A	N/A	Hyper Rank Debuff Burn Trap Attack	Reaction Skill	3	Rare	Contingency- The user is Nature-type and an opponent Player has 10 or fewer cards in their Discard Pile. (You may play this card if its Contingency is met.);Hit target reachable opponent for PLV+3 Basic Damage. If this card's Contingency was met, target opponent Player destroys the top 3 cards of their Deck.
War Cry BS 180	BS	BS-180.png	Earth/Fire	N/A	N/A	Special Rank Chain Buff	Reaction Skill	3	Uncommon	The user gains +2+X PLV until end of turn, where X is the number of cards in the current Chain.
Amplify BS 181	BS	BS-181.png	Storm	N/A	N/A	Special Rank Buff	Reaction	3	Common	If you draw this card, you may play it from your Hand immediately.;Target ally's Attacks perform 1 extra hit to each target until your next Starting Phase.
Astral Destiny BS 182	BS	BS-182.png	Null	N/A	N/A	Special Rank Rift Debuff	Reaction	1	Common	If you draw this card, you may play it from your Hand immediately.;Target Character gains Void until your next Starting Phase. (If this target would be destroyed, imprison it instead.)
Black Ice Shell BS 183	BS	BS-183.png	Water	N/A	N/A	Normal Rank Defense	Reaction	2	Uncommon	Reduce target Attack's Damage per hit by the user's PLV.
Boiling Ice Armor BS 184	BS	BS-184.png	Water/Fire	N/A	N/A	Special Rank Defense	Reaction	3	Rare	Paradox- All Attacks that target the user deal Basic Damage instead of Unblockable or True Damage until your next Starting Phase. (Whenever you control Characters that have at least one of each of this target's elements, its Paradox ability is active.);Block target Physical Attack of Special Rank or lower.
Compress BS 185	BS	BS-185.png	Metal/Earth	N/A	N/A	Special Rank Buff	Reaction	0	Uncommon	Surprise- Play a Character from your Fighter Pool. (This card enters face-down attached to you. Whenever its Surprise is met, you may play it.);The Character played from your Fighter Pool this way costs 2 TP fewer.
Confound BS 186	BS	BS-186.png	Water	N/A	N/A	Special Rank Burn Deflect	Reaction	3	Common	Deflect 1 Attack of Ultra Rank or lower unless the Attacker discards 2 cards.
Darkness Aura BS 187	BS	BS-187.png	Dark	N/A	N/A	Special Rank Defense	Reaction	2	Common	All Unblockable and True Damage target Character or Player receives becomes Basic Damage until your next Starting Phase.
Deceiver's Gambit BS 188	BS	BS-188.png	Dark	N/A	N/A	Hyper Rank Defense	Reaction	2	Rare	Overdrive- Discard a card with the same Rank as the Attacker's Attack. (When this card enters, you may pay this cost to activate this target's Overdrive ability.);Block target Attack of Special Rank or lower.;Overdrive: Negate target Attack instead.
Dimensional Swerve BS 189	BS	BS-189.png	Space	N/A	N/A	Special Rank Defense	Reaction	3	Common	Negate target Attack of Special Rank or lower.
Dismantle BS 190	BS	BS-190.png	Earth	N/A	N/A	Special Rank Destruction	Reaction	2	Uncommon	Surprise- An opponent Player plays or activates an Item. (This card enters face-down attached to you. Whenever its Surprise is met, you may play it.);Destroy target Item.
Explosive Punch BS 191	BS	BS-191.png	Fire	N/A	N/A	Hyper Rank Displacer Negate Block	Reaction	4	Rare	Block target Attack of Hyper Rank or Negate target Attack of Special Rank or lower that targets the user of this card.;If the Attacker is a Character, send them to their controller's Backup Zone.
Flareskin BS 192	BS	BS-192.png	Fire	N/A	N/A	Hyper Rank Counter Attack	Reaction	2	Uncommon	Hit target Attacker for True Damage equal to the number of hits each Attack has dealt Damage with this turn.
Hard Counter BS 193	BS	BS-193.png	Metal	N/A	N/A	Hyper Rank Destruction Defense	Reaction	4	Uncommon	Overdrive- Discard 2 cards. (When this card enters, you may pay this cost to activate this target's Overdrive ability.);Block target Physical Attack of Ultra Rank or lower that targets the user of this card.;Overdrive: The Attacker is Knocked Out.
Hornetstorm BS 194	BS	BS-194.png	Nature	N/A	N/A	Hyper Rank Debuff Counter Physical Attack	Reaction	3	Common	Hit target Attacker for 1 Basic Damage 4 times. Targets dealt Damage this way gain Poison 2 for each hit they received. (Put that many of these Counters on your targets. During your Starting Phase, remove each of these Counters then put that many Damage Counters.)
Hyper Armor BS 195	BS	BS-195.png	Metal	N/A	N/A	Hyper Rank Buff	Reaction	3	Common	The user gains your choice of Shield 2 or Barrier 2.
Insight Shine BS 196	BS	BS-196.png	Light	N/A	N/A	Special Rank Draw Recovery	Reaction	2	Common	Surprise- A Player draws 4 or more cards during a round. (This card enters face-down attached to you. Whenever its Surprise is met, you may play it.);Target Player or Character heals for 5 HP.;Draw 2 cards.
Ivy Snare BS 197	BS	BS-197.png	Nature	N/A	N/A	Special Rank Burn	Reaction	1	Common	Target opponent Player reveals their Hand to you then discards a card of your choice.
Momentum Cancel BS 198	BS	BS-198.png	Time	N/A	N/A	Special Rank Debuff Negate	Reaction	3	Uncommon	Negate target Physical Attack of _Ultra Rank or lower that targets the user of this card and the Attacker gains Paralyze 1. (Put that many of these Counters on your targets. During your Starting Phase, remove 1 of these Counters from it. It cannot activate its abilities or Attack this round.)
Multiversal Telefrag BS 199	BS	BS-199.png	Space/Time	N/A	N/A	Ultra Rank Debuff Counter Physical Attack	Reaction	5	Uncommon	Hit target Attacker for 5 True Damage and they gain Timebomb 2. (Put that many of these Counters on your targets. During your End Phase, put 1 of these Counters then, if they have 5 or more of these Counters, they're Knocked Out.)
Penultimate Reset BS 200	BS	BS-200.png	Time	N/A	N/A	Devastation Rank Burn	Reaction	5	Rare	Void (If this target would be destroyed, imprison it instead.);Each Player shuffles their Hand back into their Deck then draws 6 cards.;Each Player's TP becomes 0.
Power Hijack BS 201	BS	BS-201.png	Storm	N/A	N/A	Ultra Rank Burn Resource Negate	Reaction	5	Rare	Negate target Attack of Hyper Rankhyper_ or lower that targets the user of this card, then you may remove up to 10 Power Counters divided among any number of targets.
Prismatic Blood BS 202	BS	BS-202.png	Light/Earth	N/A	N/A	Hyper Rank Counter	Reaction	4	Uncommon	This card can only be used by Characters.;Hit target Attacker for X True Damage, where X is equal to the number of Damage Counters on the user.
Purgatory Flames BS 203	BS	BS-203.png	Fire	N/A	N/A	Legendary Rank Burn Destruction	Reaction	10	Ultra Rare	Destroy all Augments, Skills, Reactions, and face-down cards.
Rainbow Field BS 204	BS	BS-204.png	Light/Water	N/A	N/A	Ultra Rank Defense	Reaction	6	Rare	Target Character or Player gains Immune to Damage until your next Starting Phase. (This target cannot be targeted or affected by the listed card types, keywords, Counters, or abilities.)
Refract BS 205	BS	BS-205.png	Light/Water	N/A	N/A	Special Rank Draw	Reaction	1	Common	If you draw this card, you may play it from your Hand immediately.;Draw 2 cards, then put 1 card from your Hand on the bottom of your Deck in any order.
Riposte BS 206	BS	BS-206.png	Time	N/A	N/A	Special Rank Deflect	Reaction	1	Common	Deflect target Physical Attack of Special Rank or lower that targets the user of this card.
Severe Strike BS 207	BS	BS-207.png	Metal	N/A	N/A	Hyper Rank Combo Burn	Reaction	2	Uncommon	Surprise- A target deals at least 10 total Damage with an Attack. (This card enters face-down attached to you. Whenever its Surprise is met, you may play it.);Each target dealt Damage by that attack gains 4 Damage.
Smog Screen BS 208	BS	BS-208.png	Dark/Fire	N/A	N/A	Hyper Rank Curse Counter	Reaction	4	Common	Target Attacker gains your choice of either Poison 4, Fracture 3, or Blindness 2.
Starlight Aura BS 209	BS	BS-209.png	Space/Light	N/A	N/A	Legendary Rank Recovery Defense Negate	Reaction	8	Ultra Rare	Negate target nonCharacter card of Legendary Rank or lower, then remove all Counters from the user. They lose all gained keywords and abilities.;The user gains 4 Shield and 4 Barrier.
Stutter Step BS 210	BS	BS-210.png	Space/Time	N/A	N/A	Hyper Rank Defense	Reaction	3	Uncommon	Negate target Physical Attack that targets the user of this card.;The user gains Drain 2. (Put that many of these Counters on your targets. They have -1 PLV for each of these Counters.)
Summon Recall BS 211	BS	BS-211.png	Time	N/A	N/A	Special Rank Recovery	Reaction	1	Uncommon	Send target Character you control to their owner's Fighter Pool.
Taunt BS 212	BS	BS-212.png	Dark	N/A	N/A	Special Rank Combo Burn	Reaction	1	Uncommon	This card can only be played if the user has dealt Damage this turn.;Target opponent Player loses 4 TP.
Temporal Freeze BS 213	BS	BS-213.png	Time/Water	N/A	N/A	Legendary Rank Chain Negate	Reaction	8	Ultra Rare	Negate all cards and abilities in the current Chain except this card.;End the turn.
Vorpal Warp BS 214	BS	BS-214.png	Space	N/A	N/A	Hyper Rank Rift Destruction	Reaction	4	Rare	This card can only be activated if the user and the Attacker are Characters.;Imprison the user and the Attacker. If the user's TP cost is lower than the Attacker's TP cost, imprison cards from the top of your Deck equal to the difference.
Antimatter Breaker BS 215	BS	BS-215.png	Null	N/A	N/A	Hyper Rank Rift Energy Attack	Skill	4	Uncommon	Hit all opponents for PLV+2*X Basic Damage, where X is the number of Characters in your Rift Zone.
Aquaforge BS 216	BS	BS-216.png	Water	N/A	N/A	Special Rank Search Draw	Skill	1	Uncommon	Look at the top 4 cards of your Deck. You may reveal an Item or Augment from those cards and put it in your Hand, then put the rest on the bottom of your Deck in any order.
Aquatic Edge BS 217	BS	BS-217.png	Water	N/A	N/A	Special Rank Draw Physical Attack	Skill	1	Common	Hit target reachable opponent for PLV+2 Basic Damage. If Damage was dealt this way, draw 2 cards then put 2 cards from your Hand on the bottom of your Deck in any order.
Arcing Voltage BS 218	BS	BS-218.png	Storm	N/A	N/A	Special Rank Combo Energy Attack	Skill	2	Uncommon	Hit up to 2 target reachable opponents for PLV+3 Basic Damage. If the user is Storm-type, hit all reachable opponents instead.
Artificial Attack BS 219	BS	BS-219.png	Null	N/A	N/A	Normal Rank Physical Attack	Skill	0	Uncommon	Hit target reachable opponent for PLV Basic damage. Lose any unspent TP gained this way during the next End Phase.
Asp Strike BS 220	BS	BS-220.png	Nature	N/A	N/A	Special Rank Debuff Physical Attack	Skill	2	Uncommon	Hit target reachable opponent for PLV Basic Damage and they gain Poison X, where X is equal to the Damage dealt. (Put that many of these Counters on your targets. During your Starting Phase, remove each of these Counters then put that many Damage Counters.)
